Ticker,Name,Sector,Avg_Return,Volatility,Cluster
U11.SI,United Overseas Bank,Financial Services,0.19043447660650936,0.15805656200357798,0
U14.SI,UOL Group,Real Estate,0.1720082264811461,0.22575354188709945,0
V03.SI,Venture Corporation,Technology,0.15308795447486687,0.2115990436927455,0
C38U.SI,CapitaLand Integrated Commercial Trust,Real Estate,0.14493878862625198,0.16457031658011748,0
C09.SI,City Developments,Real Estate,0.11324260702910705,0.2262758361439948,0
AJBU.SI,Keppel DC REIT,Real Estate,0.08502976079212132,0.2281303851889212,0
F34.SI,Wilmar International,Consumer Defensive,0.08247665510813565,0.1989609359188536,0
U96.SI,Sembcorp Industries,Utilities,0.07181132689873333,0.24978224098582366,0
C6L.SI,Singapore Airlines,Industrials,0.05846634337665216,0.16988683010487243,0
J69U.SI,Frasers Centrepoint Trust,Real Estate,0.05831713630631679,0.13711172999110421,0
A17U.SI,CapitaLand Ascendas REIT,Real Estate,0.03726012319081395,0.15994849531835792,0
ME8U.SI,Mapletree Industrial Trust,Real Estate,0.024682520815261823,0.15299996521563383,0
N2IU.SI,Mapletree Pan Asia Commercial Trust,Real Estate,0.018303162640745156,0.19746545885737005,0
BUOU.SI,Frasers Logistics & Commercial Trust,Real Estate,0.015290161122352198,0.19288699175340357,0
9CI.SI,CapitaLand Investment,Real Estate,0.008917742023466976,0.20780161099897948,0
Y92.SI,Thai Beverage,Consumer Defensive,0.0033784848718731862,0.20886876228234721,0
M44U.SI,Mapletree Logistics Trust,Real Estate,-0.03393479078445908,0.1992965355725815,0
G13.SI,Genting Singapore,Consumer Cyclical,-0.03856149038646151,0.22101788405460995,0
S63.SI,Singapore Technologies Engineering,Industrials,0.4082990177455491,0.23450052717710682,1
D05.SI,DBS Group Holdings,Financial Services,0.3802427709571628,0.17170408610471746,1
O39.SI,Oversea-Chinese Banking Corp,Financial Services,0.378084334795831,0.16052287184644598,1
S68.SI,Singapore Exchange,Financial Services,0.3704239948962423,0.19883934433104802,1
Z74.SI,Singapore Telecommunications,Communication Services,0.2696438059249003,0.20077841522190168,1
S58.SI,SATS,Industrials,0.2452058683748412,0.23720051918952578,1
BN4.SI,Keppel,Industrials,0.2312109334469676,0.2093818048724987,1
5E2.SI,Seatrium,Energy,0.000635914600060336,0.37174224926888294,2
BS6.SI,Yangzijiang Shipbuilding,Industrials,0.44494994404692834,0.36256507503208246,3
H78.SI,Hongkong Land Holdings,Real Estate,0.379236803270147,0.2912465639782701,3
D01.SI,DFI Retail Group,Consumer Defensive,0.2693863319983538,0.330120280674641,3
J36.SI,Jardine Matheson Holdings,Industrials,0.18888769993090998,0.2852023733815303,3
