Symbol,Name,Sector
D05.SI,DBS Group Holdings,Financial Services
O39.SI,Oversea-Chinese Banking Corp,Financial Services
U11.SI,United Overseas Bank,Financial Services
Z74.SI,Singapore Telecommunications,Communication Services
S68.SI,Singapore Exchange,Financial Services
S63.SI,Singapore Technologies Engineering,Industrials
F34.SI,Wilmar International,Consumer Defensive
C6L.SI,Singapore Airlines,Industrials
BN4.SI,Keppel,Industrials
C38U.SI,CapitaLand Integrated Commercial Trust,Real Estate
H78.SI,Hongkong Land Holdings,Real Estate
J36.SI,Jardine Matheson Holdings,Industrials
9CI.SI,CapitaLand Investment,Real Estate
A17U.SI,CapitaLand Ascendas REIT,Real Estate
U96.SI,Sembcorp Industries,Utilities
BS6.SI,Yangzijiang Shipbuilding,Industrials
G13.SI,Genting Singapore,Consumer Cyclical
U14.SI,UOL Group,Real Estate
C09.SI,City Developments,Real Estate
5E2.SI,Seatrium,Energy
S58.SI,SATS,Industrials
N2IU.SI,Mapletree Pan Asia Commercial Trust,Real Estate
M44U.SI,Mapletree Logistics Trust,Real Estate
ME8U.SI,Mapletree Industrial Trust,Real Estate
AJBU.SI,Keppel DC REIT,Real Estate
D01.SI,DFI Retail Group,Consumer Defensive
V03.SI,Venture Corporation,Technology
J69U.SI,Frasers Centrepoint Trust,Real Estate
BUOU.SI,Frasers Logistics & Commercial Trust,Real Estate
Y92.SI,Thai Beverage,Consumer Defensive
