Symbol,Name
D05.SI,DBSGroupHoldings
G13.SI,GentingSingaporePLC
Z74.SI,SingaporeTelecom
U11.SI,UnitedOverseasBank
V03.SI,VentureCorporation
C31.SI,CapitaLand
O39.SI,Oversea-ChineseBankingCorp
C38U.SI,CapitaMallTrust
BS6.SI,YangzijiangShipbuildingHoldings
BN4.SI,KeppelCorp
C61U.SI,CapitaComTrust
C09.SI,CityDevelopmentsLimited
A17U.SI,AscendasRealEstateInvestmentTrust
S68.SI,SingaporeExchange
T39.SI,SingaporePressHoldings
U14.SI,UOLGroup
C6L.SI,SingaporeAirlines
S63.SI,SingaporeTechnologiesEngineering
F34.SI,WilmarInternational
N2IU.SI,MapletreeCommercialTrust
M44U.SI,MapletreeLogisticsTrust
Y92.SI,ThaiBeverages
J37.SI,JardineStrategicHoldingsLtd
S58.SI,SATS
J36.SI,JardineMathesonHoldingsLimited
C52.SI,ComfortDelGroCorporation
U96.SI,SembcorpIndustries
H78.SI,HongkongLandHoldings
D01.SI,DairyFarmInternationalHoldings
C07.SI,JardineCycle&Carriage
